Importers,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019
World,400692015,455573380,492907472,535186743,524064899,510552779,516588131,549861455,569105740,535711019
China,210291123,246581687,284360806,320687678,300429691,287492809,285501329,297814126,314293501,296069015
United States of America,42816343,42660146,43694387,42761432,44151112,44348749,42031390,42421550,45872085,39120065
India,9923839,12363011,11057065,11130036,13015340,13272849,15398174,21070302,17901904,15494077
Japan,16496752,17425680,18567228,17479092,17103149,15945604,15055656,16513328,16533395,15472840
"Taipei, Chinese",9309598,11621624,10846166,10663460,10918108,8906271,10185130,12246780,11733116,11630002
Singapore,7187684,7658850,8147056,8671039,8122522,9776405,9383092,11204180,12331276,10769822
Thailand,4912268,6224862,6091807,7146363,7763171,8693581,10071897,13388245,13449394,10448307
Viet Nam,4387071,6001942,6555872,9436138,8676365,9927905,9355556,10245801,10659940,10286514
Germany,10419447,11620593,10033068,9519415,9367970,9088958,8649425,9487722,9720546,8852709
Netherlands,5678982,5429114,5342133,5400098,6096961,6730208,7398224,8210054,9112252,8711765
United Kingdom,9751122,7542949,7354356,7104740,7232363,7114433,11189250,9326270,6401858,8350689
United Arab Emirates,2727739,3844238,4608824,5323635,6605923,6692502,6997892,7732467,7569756,8104076
"Korea, Republic of",7630885,8448118,8135092,8647672,8293441,7252439,7674513,7982171,7797870,7474068
"Macao, China",2831018,4152518,4726628,5909755,6296811,6021042,5303968,5497575,6298214,6745270
Switzerland,3534251,4052852,4044293,3584133,4456963,4248538,9332791,11267906,5814977,6024555
Mexico,1761574,2086043,2187481,2945627,3721479,3788104,3592115,3716898,4391156,4661526
Philippines,2237983,2652781,2937142,2821898,3078133,3330073,3275349,3651320,3864972,4535833
France,4514335,5107095,4797266,5295195,5117172,4518365,4472489,4735443,4556341,4524230
Malaysia,3326795,3808148,3920260,3469953,3921544,3790919,3519372,3677912,4480004,4436782
Australia,4900672,5344099,5202762,4887335,4470237,4694630,4730614,4601565,4622734,4162044
Indonesia,2822776,3036495,2688036,2537877,2656914,3173058,3184973,3485947,3190823,3861000
Russian Federation,1487757,1754144,2183192,2489587,2338008,1654346,2024384,2806025,3733911,3481150
Italy,3680031,3837027,3226509,3126111,3147596,2991122,3352303,3287187,3616166,3278211
Canada,3074511,3181019,3111523,2959595,2924071,2719228,2381506,2280504,2364211,2368302
Belgium,2090747,2805554,2858819,2939125,3147693,2767624,2387725,2293891,2658505,2306516
Spain,1921715,1993885,1725024,1786088,1993774,1908018,1764231,1768368,2169917,2038337
Brazil,1663440,2061940,1977347,1961112,1873982,1375683,1265478,1530156,1599878,1870180
Israel,1271005,1893407,1842553,2068041,2453869,2372809,2117301,1875642,2150050,1786493
Czech Republic,634847,704674,788130,881796,814127,895260,720594,936930,1726510,1752502
Hungary,1310868,1159328,1209254,1316329,1581630,1589199,1721669,1777041,1949797,1602661
Poland,707156,767594,773051,849057,1041831,1180005,1299700,1278102,1665127,1602436
Saudi Arabia,602795,628373,752579,788839,840567,934220,1078726,1028292,1003558,1506212
Bangladesh,831122,990972,1026793,1267080,1373008,1475558,1496986,1508603,1825250,1376850
Turkey,740674,873998,814534,867080,1086293,1032744,1037758,989944,1051629,1277594
South Africa,748669,814366,736191,833305,956262,1016622,943126,1148749,1359441,1148794
Egypt,351622,329075,353960,379611,536671,529708,541736,549730,890912,1103527
Cambodia,586851,699810,810773,936608,905174,1032362,904902,915105,965328,963571
Austria,582984,677197,583008,598688,612283,654248,614412,645761,808275,830829
