Importers,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019
World,353240365,416289216,415615110,419931654,415418247,357941229,338081970,373254554,411741747,390344504
China,36361069,42692809,44255388,49262161,54694071,51421809,44351818,54038553,50411435,51615430
"Hong Kong, China",41272856,45053157,46312278,46061285,45806225,41130296,43261080,46010513,48629673,44374755
Malaysia,42367421,50999151,51567796,51893907,50111708,38673587,35634044,39579729,44870722,41156484
United States of America,22951030,22205372,22415799,23262563,23145422,23225800,22754003,24183047,31866661,34407392
Indonesia,33566929,45330331,44995484,43634273,38477359,29612380,26589986,27951581,32964507,27359671
Japan,16410345,18373433,18082348,17578303,16746659,15287522,14562068,17056689,19993261,17634621
"Taipei, Chinese",12981846,14603664,14451128,15296587,16139786,14442133,14734569,16609345,16952077,16387429
Thailand,12704219,14124826,16013194,15367090,15530791,14081112,13765782,14691352,15555421,15354258
"Korea, Republic of",14364230,15480416,16575854,16619051,16691931,14484028,14520549,16743892,15673747,15213253
Viet Nam,7393212,10141844,10087067,10331483,12223901,12122442,11353589,12294274,12025434,12960810
India,13409643,14322343,11816212,11450712,11496312,10993606,10036103,11017885,12333262,11443533
Australia,12601702,16078723,17014864,15528348,15452737,11537251,9370331,10005549,12676205,11295375
Netherlands,6163621,7547694,7104740,6418273,7290483,6196904,6905151,7813722,8915511,8596404
Philippines,7183223,6767164,6338337,6695542,6870784,6415999,6508206,7268744,7953813,8529414
Germany,6150566,6689559,5955296,5841149,5388968,5548920,5734625,6195374,6413351,5846247
United Kingdom,6123775,6943239,6537987,3845584,4007523,3314623,3141488,3054262,4754358,4666073
Belgium,3385344,3987885,4252968,4459652,4954172,5126888,5568887,4966756,5100465,4461381
France,6040320,6767888,6831703,4825230,3929403,3379993,3297235,3727010,4841035,4410849
Panama,7507200,11406829,12257099,11313075,9210737,5433419,4909035,5354423,6232843,4186338
United Arab Emirates,3831454,4758599,4733390,5662999,6071191,5427572,4078751,3670474,3716884,4057277
Myanmar,1159348,1213344,1339308,2249561,2396516,2455339,2278031,2521230,2766241,3150814
Bangladesh,1703296,2270782,2091882,2586269,3378039,2406535,2620884,2879386,3431617,3052472
Marshall Islands,1154770,1922533,2347605,2798427,2914029,1943240,1669332,2592013,3687703,2880540
Switzerland,1164110,1071139,2243690,1503360,1806427,1750825,3564818,2375915,2411019,2780949
Liberia,2884478,4385613,4157538,3863104,3944655,2438368,1800480,2568878,3380397,2665336
New Zealand,1706643,2126583,2087396,1874298,2230407,1727425,1454947,1799461,2247852,2278964
Cambodia,2419019,3690129,2169950,6584743,3659807,3602633,2490750,2981748,4768291,2276102
Mexico,1136304,2467283,1192499,947330,1002190,1429774,1178618,1280826,1150917,1415479
Brazil,1461210,1395486,1381072,2734182,1595977,1144665,871097,1208521,1160181,1329984
Malta,887460,1045591,1146405,1158954,1499659,866408,835014,1208448,1691142,1224734
Sri Lanka,1198239,1353467,1595816,1979769,1763573,1408180,1449375,1831203,1784011,1202639
Canada,1456101,1404246,1194356,1611029,976641,748270,743530,731770,946172,1126335
Brunei Darussalam,946004,1576171,1236220,1154422,882554,777434,767154,758126,878979,1112357
Qatar,204901,228300,195294,261886,229914,191590,142482,428659,813199,964333
Pakistan,1169745,1881447,896346,1019893,1168885,1080513,784884,969288,950739,956907
Saudi Arabia,815358,874793,1206948,1234443,1270926,989221,785263,816340,752931,952329
Greece,707641,930523,1037853,1089091,1119211,587397,490889,758357,1045168,899637
Norway,370978,1350825,638622,1320339,583099,339201,1517891,364041,489499,817237
Italy,684960,973515,804123,742816,716367,575982,639494,715799,839998,771178
Israel,553052,620275,507918,494189,575169,480931,698188,657018,861455,755260
Bahamas,743340,1023893,1048567,990159,1028712,582919,470408,657303,910655,665515
Turkey,342121,728234,558455,525124,554896,483705,476999,517795,517441,661805
Spain,396587,433446,387117,369987,351160,425868,367143,317214,360011,600022
Papua New Guinea,586254,907185,1082544,811380,793889,590287,379444,460897,530474,594111
South Africa,1498722,1594325,1483350,1779525,1418073,1174347,410819,421331,616739,575790
Russian Federation,465739,422005,441339,471916,566116,440381,687088,660512,571172,549610
Portugal,76114,111472,57484,48935,124673,136919,198288,467711,415081,522148
Czech Republic,776261,782088,601825,543249,521910,464324,312376,478478,556605,484812
Cyprus,418937,580630,620432,571578,544275,309569,246510,380757,458825,402749
Fiji,463765,653712,654112,424075,403602,178770,232092,286601,418438,394945
Poland,316330,298941,246317,197195,189173,201716,227654,267504,370776,360634
Ireland,886784,349328,395419,578929,439390,431049,388799,233660,317373,360186
United States Minor Outlying Islands,369992,614912,580668,441653,441818,316315,275040,322555,359520,351197
Egypt,545020,685860,350913,475712,393446,333047,282987,412882,296901,334306
Hungary,803211,653479,462180,349159,376106,266480,278527,267167,285235,332350
Maldives,278827,317348,278118,217901,279144,224066,222222,237704,265492,304746
New Caledonia,401507,594146,636681,563680,425627,128142,190822,240954,349145,294361
Austria,124951,167400,129948,137816,118460,98854,109080,137819,265621,248820
Oman,131934,165218,402275,273129,166912,206534,212356,173249,171738,247313
Nigeria,246574,318889,329725,317649,460358,210925,162218,225074,190775,243207
Togo,0,27061,9686,96607,202062,418228,166439,100960,47289,242437
Bulgaria,15370,15365,15484,14354,25449,21106,21453,39142,89381,242295
Morocco,173310,182931,148797,137747,143734,126836,111733,125769,151575,223266
Sweden,289145,299753,187456,120492,127274,137533,163004,197233,199363,217814
"Macao, China",102579,93987,83116,126053,122866,113636,154379,241525,363039,200097
Bahrain,91254,78211,102257,100360,146712,112448,102268,118643,129783,175257
Kuwait,180260,147445,178460,318813,196854,175923,199803,212139,172197,170696
Denmark,518058,254834,286421,293259,282784,249827,245681,217585,256870,146991
Nepal,82557,84582,105392,114963,97523,94579,73420,100355,108539,140844
Argentina,165203,162510,164893,134653,280963,118690,164741,116334,109649,131050
Luxembourg,38325,34060,32819,76875,552928,82741,79164,66873,101406,127865
Kenya,180156,170642,111238,273580,124335,80048,64860,51781,65500,120380
Mauritius,110119,324940,129976,74685,79236,75447,68183,53827,60234,120342
Colombia,88713,95572,110955,81041,98785,77353,75188,103140,143578,108320
Chile,39323,72897,58355,91533,55664,58458,64417,78936,81806,107748
French Polynesia,100818,146032,177738,59256,306920,106611,63544,58352,109507,101751
Cayman Islands,0,99080,106775,108685,125752,79114,57924,83045,106257,95083
Mozambique,64524,97033,141083,249768,96001,94802,37083,24530,48107,95059
Mongolia,74517,82438,69028,80861,61905,44907,53364,79716,107785,94258
Antigua and Barbuda,435448,533248,460366,348017,300673,211931,126819,128722,120620,92075
Finland,148009,179266,167235,162201,199335,124696,115191,169917,139006,91279
Ethiopia,5593,7065,3758,9642,11817,20740,23184,46425,207891,90296
Iraq,61936,62213,53768,123559,61516,69502,104296,60201,75757,86973
Ecuador,27705,139825,34362,38375,43555,34224,37603,60449,78323,78329
Ghana,65077,64652,845555,90152,66485,65037,59769,82212,172801,74360
Jordan,85842,45974,101723,175046,116712,86765,26447,28240,43840,73239
Angola,319532,250568,393732,263647,786188,420301,78227,65909,58599,64685
"Tanzania, United Republic of",293330,152409,81649,130326,92977,127211,29322,31587,58567,61086
Samoa,54770,69062,84509,65005,22812,21392,36783,50596,58088,60050
Timor-Leste,0,114204,99135,79400,104875,147901,42177,50946,37380,55424
Peru,29127,36716,41918,65953,42684,54613,79015,80502,60049,54068
Lao People's Democratic Republic,22972,34719,30081,26335,33879,79240,46618,31948,43596,53418
Bermuda,147916,243601,294640,351158,322872,133408,79564,98764,91537,52708
Romania,67968,75682,72349,84057,73380,54380,61644,55122,62286,50066
Seychelles,54593,42292,44738,30076,27809,96744,25989,39895,46200,48816
Solomon Islands,78065,123783,140203,125624,78880,26086,38455,48650,60504,47207
American Samoa,0,0,0,0,0,0,0,0,34687,43378
Costa Rica,21989,24593,33018,27866,27622,27721,26390,46334,34920,42742
Gabon,19571,22233,23538,89082,48535,23485,12802,16245,26964,41951
Madagascar,112219,142561,77893,34392,24701,46049,17957,15403,42714,37766
Kazakhstan,35265,44984,35621,58311,43230,33055,13519,16646,22399,37618
Algeria,146778,144998,35367,49771,70990,46698,43027,51671,122932,37555
Georgia,0,18479,29566,39793,34254,30648,17944,12039,12365,36349
Slovenia,34088,41827,28315,27768,25557,33993,31905,71314,46205,34942
Latvia,18054,12719,27999,11635,14140,10448,11041,15478,34299,34049
Afghanistan,19187,27889,12811,10317,12797,15856,17060,19512,22691,32948
Lebanon,53119,55630,53686,46233,49157,51947,34874,37399,41426,31164
Azerbaijan,0,27198,33062,27254,121753,200427,33886,32829,22277,31077
British Indian Ocean Territory,0,43191,89880,11148,6587,11444,25027,22540,20687,28366
"Iran, Islamic Republic of",358620,303169,220339,158550,139297,114991,115992,184681,347819,27581
Northern Mariana Islands,39265,13766,11570,11351,14209,11660,11641,20173,34084,27435
Botswana,0,4457,2886,2684,18051,29080,23661,2747,8900,26186
Jamaica,14294,8696,5231,3538,4915,3835,4418,4660,13712,25744
Saint Vincent and the Grenadines,138913,158910,145441,103284,93810,42808,23051,27431,27495,24441
Estonia,11059,12016,14561,23073,13667,10707,7144,12955,6935,23897
Trinidad and Tobago,16992,15539,27880,16818,15468,270509,17563,14024,16130,23655
Ukraine,38254,48487,26891,87759,39202,8080,9230,15009,18000,23057
Slovakia,64890,52921,37682,29522,29906,25479,21290,23120,30131,23032
Vanuatu,64419,106472,124597,69027,92948,43099,25320,28849,39443,22918
Tunisia,35137,19186,15015,19459,22907,23529,24808,30239,14601,22865
"Libya, State of",65121,14802,15245,22028,23128,20694,11045,14489,21507,22370
Cameroon,36253,39905,28836,39875,49690,14381,11436,17781,33066,21769
Tuvalu,0,0,61914,46769,38128,16273,17751,20448,22876,21626
Gibraltar,0,37661,53158,118874,91024,67758,38157,46079,26894,18810
Uruguay,55370,47927,47292,55951,43681,35810,19821,18954,16586,18639
Lithuania,11472,9803,22486,28056,11621,15455,10648,8269,11932,17958
Djibouti,12991,9130,12654,19490,26514,27200,20103,11728,12676,17221
Barbados,0,25698,16502,6682,5658,6259,2949,7287,14936,16870
Guyana,4001,3034,8863,2376,2270,1807,2126,2699,4756,16768
Congo,0,31440,37195,29986,57031,30983,18048,13648,13416,16107
Côte d'Ivoire,32877,16996,26844,20443,27129,36856,23101,23038,25611,15222
"Congo, Democratic Republic of the",17000,20342,12751,9817,16713,9373,8525,8606,9751,14944
Curaçao,0,70945,43051,104958,261993,57531,13039,15420,6294,14113
Dominica,0,25674,12436,7704,7503,6488,2748,2355,12518,12926
Guatemala,26813,9611,8740,11267,15476,15197,16514,13902,14602,12726
Uzbekistan,0,1989,8433,20381,8761,2165,6467,3282,10869,12142
